HandlungskompetenzId;Titel;Module Berufsfachschule;Module ÜK;Leistungsziele;Beschreibung;Fachrichtung
b4;Geschäftsprozesse von Kundinnen und Kunden analysieren, visualisieren und dokumentieren;254;;"b4.1: Sie identifizieren relevante Prozessinformationen (Bezeichnung, auslösendes Ereignis, Ergebnis, Auslöser, Empfänger). (K4)
b4.2: Sie zerlegen einen Geschäftsprozess in einer Aufgabenanalyse in einzelne Prozess-schritte. (K4)
b4.3: Sie dokumentieren einen Prozessablauf und stellen ihn auf der Basis von anerkannten und üblichen Beschreibungsstandards grafisch dar. (K3)
b4.4: Sie präzisieren den Prozessablauf mit Zusatzinformationen wie benötigten Hilfsmitteln, ausführenden Stellen sowie der Beschreibung des zu erzeugenden Outputs (Ergebnis). (K3)";"Informatikerinnen und Informatiker analysieren Geschäftsprozesse, stellen sie grafisch dar und dokumentieren sie:
In einem ersten Schritt identifizieren sie relevante Prozessinformationen (Bezeichnung, auslösendes Ereignis, Ergebnis, Auslöser, Empfänger). Darauf zerlegen sie die Geschäftspro-zesse in einer Aufgabenanalyse in einzelne Prozessschritte. Nun dokumentieren sie den Prozessablauf und stellen ihn auf der Basis von anerkannten und üblichen Beschreibungs-standards grafisch dar.
In einem weiteren Schritt präzisieren sie den Prozessablauf mit Zusatzinformationen wie benötigten Hilfsmitteln, ausführenden Stellen sowie der Beschreibung des zu erzeugenden Outputs (Ergebnis).
Zum Schluss übergeben sie die Dokumentation dem Kunden.";Appli, Plattform
c1;Daten identifizieren, analysieren und Datenmodelle entwickeln;162, 164;110,259;"c1.1: Sie sichten Daten aus verschiedenen strukturierten und unstrukturierten Datenquellen und ordnen sie hinsichtlich des 4V-Modells ein. (K4)
c1.2: Sie untersuchen Daten auf Eindeutigkeit und Widersprüchlichkeit und bereinigen sie falls nötig. (K4)
c1.3: Sie gewinnen Indikatoren/Anhaltspunkte für die Modellbildung aus bestehenden Auswer-tungsformen (Reports). (K4)
c1.4: Sie bestimmen je nach Datentyp geeignete Testfälle für die Datenkorrektheit. (K3)
c1.5: Sie bestimmen eine geeignete Struktur für die bereinigten Daten. (K4)
c1.6: Sie normalisieren ein Datenmodell. (K3)
c1.7: Sie bilden ein Datenmodell in geeigneter Darstellung ab. (K3)";"Informatikerinnen und Informatiker analysieren Daten aus verschiedenen Datenquellen und fassen sie in einem geeigneten Datenmodell zusammen:
Je nach Auftrag erhalten sie Daten aus verschiedenen strukturierten und unstrukturierten Datenquellen. Als Erstes sichten sie die Daten und ordnen sie hinsichtlich des 4V-Modells ein (volume, variety, velocity, veracity). Als Nächstes untersuchen sie die Daten auf Eindeutigkeit und Widersprüchlichkeit und bereinigen sie falls nötig.
In einem weiteren Schritt gewinnen sie Indikatoren/Anhaltspunkte für die Modellbildung aus bestehenden Auswertungsformen (Reports). Sie bestimmen je nach Datentyp geeignete Testfälle für die Datenkorrektheit sowie eine geeignete Struktur für die bereinigten Daten. Schliesslich normalisieren sie das Datenmodell und bilden es in geeigneter Darstellung ab.";Appli, Plattform
c2;Datenmodelle in einem digitalen Datenspeicher umsetzen;164;106;"c2.1: Sie wählen einen geeigneten Datenspeicher (z.B. objektrelational, relational, ver-teilt/zentral). (K3)
c2.2: Sie implementieren ein normalisiertes Datenmodell für die Speicherung unter Berück-sichtigung der referentiellen Integrität. (K3)
c2.3: Sie planen Funktions- und Performancetests und bereiten die dazu notwendigen Testda-ten vor. (K5)
c2.4: Sie führen Funktions- und Performancetests durch. (K3)
c2.5: Sie werten Funktions- und Performancetests aus. (K4)
c2.6: Sie planen Datenmigrationen aus unterschiedlichen Quellsystemen in ein Zielsystem und führen sie durch. (K5)
c2.7: Sie prüfen die migrierten Daten im Zielsystem auf Vollständigkeit, Integrität und Korrekt-heit. (K4)";"Informatikerinnen und Informatiker realisieren ein Datenmodell in einem geeigneten digitalen Datenspeicher:
Dazu wählen sie zuerst einen geeigneten Datenspeicher (z.B. objektrelational, relational, verteilt/zentral). Nun implementieren sie ein normalisiertes Datenmodell für die Speiche-rung und berücksichtigen dabei die referentielle Integrität.
Als Nächstes planen sie Funktions- und Performancetests und bereiten die dazu notwendigen Testdaten vor. Sie führen die Funktions- und Performancetests durch und werten sie aus. Weiter planen sie Datenmigrationen aus unterschiedlichen Quellsystemen in ein Zielsystem und führen sie durch. Sie prüfen die migrierten Daten im Zielsystem auf Vollstän-digkeit, Integrität und Korrektheit.";Appli, Plattform
c3;Datensicherheit und Datenschutz für ICT-Lösungen planen, implementieren und dokumentieren;231;106,185,210,109,259,107;"c3.1: Sie identifizieren schutzwürdige Daten und kategorisieren sie. (K4)
c3.2: Sie modellieren schützenswerte Daten gemäss Privacy by design. (K3)
c3.3: Sie klären die erforderlichen Schutzmechanismen gemäss Schutzwürdigkeit ab und quali-fizieren sie. (K4)
c3.4: Sie erarbeiten ein Datensicherheits- und Rollenkonzept gemäss Auftrag. (K3)
c3.5: Sie erstellen ein Backup und prüfen die erfolgreiche Wiederherstellung. (K3)
c3.6: Sie setzen Zugriffsberechtigungen gemäss Konzept. (K3)
c3.7: Sie verschlüsseln Daten gemäss Konzept. (K3)
c3.8: Sie überprüfen die eingerichteten Datensicherheits- und Schutzmechanismen in Bezug auf ihre Wirksamkeit. (K4)";"Informatikerinnen und Informatiker planen Massnahmen zur Datensicherheit und zum Datenschutz, implementieren sie und dokumentieren sie:
In einem ersten Schritt identifizieren sie schutzwürdige Daten und kategorisieren sie. Als Nächstes modellieren sie die schützenswerten Daten gemäss Privacy by design. Sie klären die erforderlichen Schutzmechanismen gemäss Schutzwürdigkeit ab und qualifizieren sie. Dabei berücksichtigen sie die gesetzlichen Rahmenbedingungen (u.a. DSGVO) und inter-pretieren sie situationsgerecht.
Darauf erarbeiten sie ein Datensicherheits- und Rollenkonzept gemäss Auftrag, dokumentieren es und setzen es um (z.B. Backup erstellen, Zugriffsberechtigung setzen, Daten verschlüsseln).
Zuletzt überprüfen sie die eingerichteten Datensicherheits- und Schutzmechanismen in Bezug auf ihre Wirksamkeit.";Appli, Plattform
c4;Daten aus digitalen Datenspeichern aufbereiten;162;259, 110;"c4.1: Sie lesen Daten in eine geeignete Analysesoftware ein. (K3)
c4.2: Sie führen eine explorative Datenanalyse durch und identifizieren mögliche Datenfehler. (K4)
c4.3: Sie vergleichen etablierte Aufbereitungsmethoden und Darstellungsformen und bewer-ten sie. (K4)
c4.4: Sie wählen geeignete Darstellungsformen aus und setzen sie ein. (K3)
c4.5: Sie prüfen die Validität der aufbereiteten Daten durch Stichproben. (K3)
c4.6: Sie stellen Daten anonymisiert bereit. (K3)";"nformatikerinnen und Informatiker analysieren Daten aus digitalen Datenspeichern und bereiten sie auf:
Zu Beginn lesen sie die Daten in eine geeignete Analysesoftware ein. Darauf führen sie eine explorative Datenanalyse durch und identifizieren mögliche Datenfehler. Sie prüfen die Validität der aufbereiteten Daten durch Stichproben.
Als Nächstes vergleichen sie etablierte Aufbereitungsmethoden und Darstellungsformen miteinander und bewerten sie. Auf dieser Grundlage wählen sie geeignete Darstellungsfor-men aus und setzen sie ein (z.B. logarithmieren und nicht lineare Zusammenhänge linear darstellen). Schliesslich stellen sie die Daten anonymisiert bereit (z.B. für Testfälle).";
;;;;;;
;;;;;;
d1;ICT-Prozesse aufnehmen, standardisieren und automatisieren;122, 158, 169, 319;188, 223,335, 216, 217, 210, 109;"d1.1: Sie halten Kundenbedürfnisse in Bezug auf ICT-Prozesse in Form von technischen Anfor-derungen nachvollziehbar und lösungsneutral fest. (K4)
d1.2: Sie leiten aus den Anforderungen einen technischen Lösungsvorschlag ab und halten die-sen übersichtlich fest. (K4)
d1.3: Sie automatisieren definierte ICT-Prozesse mittels Scriptsprachen, Infrastructure as Code (IaC) und/oder Automatisierungsframeworks. (K4)";"Informatikerinnen und Informatiker nehmen ICT-Prozesse (z.B. Benutzermanagement, Service Provisionierung, Loganalysen) auf, standardisieren und automatisieren diese. Damit erreichen sie eine Erhöhung der Effizienz und Qualität für die implementierten ICT-Prozesse:
In einem ersten Schritt holen sie die Anforderungen der Stakeholder in Bezug auf geschäfts- und/oder betriebsrelevante ICT-Prozesse ein. Dies geschieht beispielsweise im Rahmen eines Beratungsgesprächs (a1). Auf dieser Grundlage leiten sie einen technischen Lösungsvorschlag ab und halten diesen schriftlich fest. Sie berücksichtigen dabei insbesondere betriebliche Gegebenheiten und Standards (z.B. BPMN, Orchestrierungstools, Scheduling-Tools, OS-builds).
Den Lösungsvorschlag setzen sie schliesslich um. Schrittweise führen sie die Automatisierung der definierten Prozesse durch. Dazu setzen sie Scriptsprachen, Infrastructure as Code (IaC) und/oder Automatisierungsframeworks ein. Sie halten sich an empfohlene Vorgehensweisen und berücksichtigen dabei Best Practices.";plattform
d2;Auslieferungsprozess von ICT-Lösungen definieren;122, 158;217;"d2.1: Sie identifizieren bestehende Auslieferungsprozesse, betroffene Schnittstellen und Sta-keholder. (K4)
d2.2: Sie bestimmen eine geeignete Plattform, nötige Erweiterungen und Anpassungen in Be-zug auf die definierten Anforderungen der Lösung. (K4)
d2.3: Sie dokumentieren einen vollständigen Auslieferungsprozess übersichtlich und nachvoll-ziehbar. (K3)
d2.4: Sie präsentieren einen Auslieferungsprozess relevanten Stakeholdern verständlich und übersichtlich. (K3)
d2.5: Sie erstellen ein vollständiges Testkonzept, um Funktion und Integration der Ausliefe-rung zu testen. (K3)";"Informatikerinnen und Informatiker definieren den Prozess, mit welchem entwickelte ICT-Lösungen dem Kunden ausgeliefert werden. Damit erreichen sie eine professionelle und den Anforderungen entsprechende Auslieferung der ICT-Lösung:
Zunächst identifizieren sie bereits bestehende Auslieferungsprozesse (z.B. Software Deployment und HW-Rollout) unter Einbezug der betroffenen Schnittstellen und Stakehol-dern. Sie bestimmen eine geeignete Plattform und/oder nötige Erweiterungen und Anpassungen.
Den definitiven Auslieferungsprozess dokumentieren sie schriftlich und kommunizieren diesen allen betroffenen Stellen. Ausserdem erstellen sie ein Testkonzept für die Ausliefe-rung (z.B. Funktions- und Integrationstests) und berücksichtigen dabei mögliche Sicherheitsrisiken (z.B. Hardware-Life Cycle, Absicherung der Datenübermittlung, Sicherheitskon-zept der Einzelkomponenten).";plattform
d3;Ausführungsplattform für ICT-Lösungen vorbereiten;158, 169;216, 217, 210, 109;"d3.1: Sie stellen eine definierte Ausführungsplattform bereit. (K3)
d3.2: Sie konfigurieren eine Ausführungsplattform gemäss den geplanten Anforderungen. (K3)
d3.3: Sie dokumentieren die Konfiguration einer Ausführungsplattform nachvollziehbar. (K3)
d3.4: Sie überprüfen eine vorbereitete Plattform in Bezug auf die definierten Anforderungen. (K3)";"Informatikerinnen und Informatiker bereiten eine Ausführungsplattform für ICT-Lösungen vor:
Sie stellen die definierte Ausführungsplattform (gemäss d2) bereit (z.B. Continuous delivery toolchain, Virtualisierungsplattform). Dabei pflegen sie einen engen und proaktiven Austausch mit relevanten Projektbeteiligten. Weiter konfigurieren sie die Plattform gemäss den geplanten Anforderungen. Sie dokumentieren die vorgenommenen Schritte und Einstellungen nachvollziehbar. Abschliessend überprüfen sie, ob die vorbereitete Plattform abgenommen werden kann.";plattform
